ethnicity_1,ethnicity_2,ethnicity_3,studytimeweekly,absences,age,gender,tutoring,extracurricular,sports,music,volunteering,parentalsupport,parentaleducation,gpa,gradeclass,risk_flag
0.0,0.0,0.0,1.7803355189521388,-0.8908223715622926,0.4729190115431414,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.929195591667681,2.0,0
0.0,0.0,0.0,0.9973762482121091,-1.7176935833500317,1.362944405415047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.042914833436377,1.0,0
0.0,1.0,0.0,-0.9840451409833825,1.3535423461472853,-1.30713177620067,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.1126022544661815,4.0,1
0.0,0.0,0.0,0.04544516505111627,-0.06395115977455339,0.4729190115431414,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0542181397029484,3.0,0
0.0,0.0,0.0,-0.9023114520899039,0.2904222167059063,0.4729190115431414,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.2880611817953875,4.0,1
0.0,0.0,0.0,-0.27970406053170993,-1.7176935833500317,1.362944405415047,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0841836144863937,1.0,0
1.0,0.0,0.0,1.0315125413772945,-0.536448995081833,-1.30713177620067,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.748237414891583,2.0,0
1.0,0.0,0.0,1.000161348151086,0.8810445108400057,-1.30713177620067,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.360142712316461,4.0,1
0.0,0.0,0.0,-0.9218612895351413,-1.599569124523212,0.4729190115431414,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.896819189513569,2.0,0
0.0,0.0,0.0,1.534518708607826,-1.7176935833500317,-0.41710638232876435,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.5734742103297656,0.0,0
0.0,0.0,0.0,0.3679266916912635,-0.41832453625501304,0.4729190115431414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1471716250185144,3.0,0
0.0,0.0,0.0,-0.38458294638771384,0.0541732990522665,0.4729190115431414,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5595945190402771,4.0,1
1.0,0.0,0.0,0.04719372382235794,0.7629200520131858,0.4729190115431414,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.520077814874808,4.0,1
1.0,0.0,0.0,0.4121728776841227,0.7629200520131858,0.4729190115431414,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.7515809583340785,4.0,1
0.0,0.0,0.0,0.25228618559498733,-0.6545734539086528,1.362944405415047,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.396788117124796,3.0,0
0.0,0.0,0.0,-0.007766166547230022,0.2904222167059063,-1.30713177620067,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.3415207165346672,4.0,1
0.0,0.0,1.0,0.057800374255761684,-0.06395115977455339,1.362944405415047,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.232175277715976,3.0,0
0.0,0.0,0.0,-1.104777759048223,0.17229775787908638,1.362944405415047,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3844041756940335,4.0,1
1.0,0.0,0.0,1.1470512342261936,1.7079157226277448,1.362944405415047,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.4695533233798704,4.0,1
0.0,0.0,0.0,0.18812652841844757,-0.6545734539086528,0.4729190115431414,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.3957840945307,3.0,0
0.0,0.0,0.0,-1.265199971456254,-1.481444665696392,-0.41710638232876435,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.778411299920653,2.0,0
0.0,0.0,0.0,0.9822275933853974,1.2354178873204653,-1.30713177620067,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.3468940367050148,4.0,1
1.0,0.0,0.0,1.5706878421754478,1.7079157226277448,-0.41710638232876435,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3125462305253549,4.0,1
0.0,0.0,1.0,1.623285126311096,0.6447955931863659,1.362944405415047,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.7701318767799732,4.0,1
0.0,0.0,0.0,-0.4231793544867146,0.0541732990522665,1.362944405415047,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5051556220362858,4.0,1
0.0,0.0,0.0,-1.2494981605194733,-1.1270712892159325,-0.41710638232876435,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.977851918315743,2.0,0
0.0,0.0,0.0,0.10545710999592849,-1.481444665696392,-0.41710638232876435,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.948717671911921,2.0,0
0.0,0.0,0.0,-1.330564317222663,-0.7726979127354727,-0.41710638232876435,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.145204720467192,3.0,0
0.0,0.0,0.0,1.576149807566219,-0.536448995081833,1.362944405415047,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.854803928981318,2.0,0
0.0,0.0,0.0,-1.0794124592267424,0.6447955931863659,1.362944405415047,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.519441725815139,4.0,1
0.0,1.0,0.0,-0.8345744513748331,-0.30020007742819316,-1.30713177620067,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.727120309522409,4.0,1
0.0,0.0,0.0,-0.29005300331601735,0.2904222167059063,-1.30713177620067,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.8475354711387904,4.0,1
0.0,0.0,0.0,-0.3731165231096126,1.2354178873204653,1.362944405415047,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.3846169728564877,4.0,1
0.0,0.0,1.0,1.0831046143408167,0.7629200520131858,-0.41710638232876435,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.94940609779728,4.0,1
0.0,0.0,0.0,-0.1142431105920804,1.471666804974105,-0.41710638232876435,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.1409594184203395,4.0,1
0.0,0.0,1.0,-1.1247496533848829,0.9991689696668256,-1.30713177620067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2614722600507521,4.0,1
0.0,0.0,0.0,-0.7834595293301677,1.3535423461472853,1.362944405415047,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2182848568210317,4.0,1
0.0,1.0,0.0,0.07259472147371422,0.7629200520131858,-1.30713177620067,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0677635510419796,4.0,1
1.0,0.0,0.0,-1.2072550446570132,-1.3633202068695722,-1.30713177620067,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0189058584279675,1.0,0
0.0,1.0,0.0,0.4354739992488998,0.7629200520131858,0.4729190115431414,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.5268678317927231,4.0,1
0.0,0.0,1.0,0.27301228958262436,0.9991689696668256,0.4729190115431414,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0582873996898603,4.0,1
0.0,0.0,0.0,0.8001380846748394,-0.8908223715622926,0.4729190115431414,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.625128097732231,2.0,0
0.0,0.0,1.0,1.5893043188251685,-0.30020007742819316,-0.41710638232876435,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.8087548220286536,2.0,0
0.0,0.0,0.0,1.4992410164108816,-0.6545734539086528,1.362944405415047,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.888891669272444,2.0,0
0.0,0.0,0.0,1.618927837049937,-1.599569124523212,1.362944405415047,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,0
0.0,0.0,0.0,-0.8630629275338543,-0.8908223715622926,1.362944405415047,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.515300272256249,2.0,0
1.0,0.0,0.0,-1.2634820665167572,-1.1270712892159325,1.362944405415047,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.5637654300150947,2.0,0
